               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048875,             0.02299,            0.077542,            0.051656,             0.35766,            0.083686,            0.040089,            0.029997,           0.0075402,            0.060087,           0.0033293,           0.0033293,            0.070036
                   1,            0.034767,            0.013195,            0.073871,             0.11716,             0.40507,             0.12296,            0.081649,            0.019437,           0.0053561,            0.057234,           0.0066257,           0.0066257,            0.039999
                   2,            0.033371,             0.01195,             0.07169,             0.21688,             0.41768,             0.15597,            0.094361,            0.020102,            0.005294,            0.054439,           0.0097758,           0.0097758,           0.0098162
                   3,            0.030261,             0.01158,            0.067742,             0.19481,              0.5319,             0.27006,             0.18823,            0.017096,           0.0052075,            0.049452,           0.0095095,           0.0095095,           0.0095095
                   4,            0.027046,            0.011173,            0.063195,             0.24324,             0.62244,                0.39,             0.28885,            0.016761,           0.0049791,             0.04444,           0.0095095,           0.0095095,           0.0095095
                   5,            0.025016,            0.010469,            0.058045,             0.38469,             0.52001,             0.44665,             0.33277,            0.015376,           0.0049947,            0.041152,           0.0091406,           0.0091406,           0.0091406
                   6,              0.0245,            0.010564,            0.055342,             0.45314,             0.59705,             0.52068,             0.38997,            0.014895,           0.0047232,            0.037077,            0.008682,            0.008682,            0.008682
                   7,            0.023292,            0.010256,            0.051695,             0.37371,             0.72548,             0.55367,             0.41791,            0.014941,           0.0048927,            0.034103,            0.008145,            0.008145,            0.008145
                   8,            0.022666,           0.0099911,            0.048315,             0.41055,             0.71972,             0.59265,             0.45516,            0.014783,           0.0048592,            0.031896,            0.007543,            0.007543,            0.007543
                   9,            0.022383,           0.0099273,            0.046364,             0.49954,              0.7222,             0.63514,             0.47454,            0.014514,           0.0047511,            0.029476,           0.0068906,           0.0068906,           0.0068906
                  10,            0.021857,           0.0096223,            0.043137,             0.55844,             0.72745,             0.67274,             0.52628,             0.01344,           0.0045348,            0.027203,            0.006204,            0.006204,            0.006204
                  11,            0.020745,            0.009284,            0.040735,             0.62029,             0.77165,             0.72629,             0.57135,            0.013353,           0.0041692,            0.023897,              0.0055,              0.0055,              0.0055
                  12,            0.020043,           0.0090767,            0.038139,             0.61353,             0.82789,             0.76587,             0.63351,             0.01195,           0.0041264,            0.022257,            0.004796,            0.004796,            0.004796
                  13,            0.019959,           0.0089017,            0.035938,             0.69982,             0.80329,             0.78959,             0.65307,            0.011623,             0.00395,            0.021102,           0.0041094,           0.0041094,           0.0041094
                  14,            0.018663,           0.0085687,            0.033269,              0.6603,             0.87793,             0.80415,             0.67489,            0.011508,            0.004033,            0.019389,            0.003457,            0.003457,            0.003457
                  15,            0.018278,           0.0084163,             0.03122,             0.70172,             0.84313,             0.82815,             0.68783,            0.011674,           0.0040917,            0.018134,            0.002855,            0.002855,            0.002855
                  16,            0.017573,           0.0082158,            0.029976,              0.7729,             0.79741,             0.85075,             0.72394,             0.01012,           0.0038644,            0.016432,            0.002318,            0.002318,            0.002318
                  17,            0.016908,           0.0083121,            0.028322,             0.75274,             0.85344,             0.87164,             0.74731,           0.0099694,           0.0037627,            0.015517,           0.0018594,           0.0018594,           0.0018594
                  18,            0.015659,           0.0077215,            0.024975,             0.78056,             0.87355,             0.87883,             0.76202,            0.010017,           0.0037097,            0.013877,           0.0014905,           0.0014905,           0.0014905
                  19,            0.015565,           0.0077806,            0.024525,              0.7998,             0.87156,             0.89137,             0.76458,            0.010391,           0.0036524,            0.013695,           0.0012202,           0.0012202,           0.0012202
